nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.6606582999229431, 0.5461954474449158, 0.9998096227645874)","(0.6736446022987366, 0.5519874691963196, 0.9998674988746643)","(0.6766336560249329, 0.5550295114517212, 0.9998296499252319)","(0.6796566843986511, 0.558379590511322, 0.9998601078987122)","(0.6665358543395996, 0.5478755235671997, 0.9995911717414856)","(0.6644372940063477, 0.547789990901947, 0.9993281960487366)","(0.6620919108390808, 0.5477355122566223, 0.999683678150177)","(0.6827007532119751, 0.5779550075531006, 0.9997609257698059)","(0.6584396958351135, 0.5621933937072754, 0.9995493292808533)","(0.6574409008026123, 0.5563324689865112, 0.9998832941055298)","(0.6494795680046082, 0.5521160960197449, 0.9996581673622131)","(0.6864994168281555, 0.6177757978439331, 0.9999995231628418)","(0.5888733863830566, 0.6003127694129944, 0.9995003342628479)","(0.6360000371932983, 0.6895848512649536, 0.9636627435684204)","(0.4851382374763489, 0.6577847599983215, 0.05171315744519234)","(0.5765624642372131, 0.7522610425949097, 0.9440448880195618)","(0.3964281976222992, 0.6514248847961426, 0.23278313875198364)"
"(0.6606196761131287, 0.5459038615226746, 0.9998233318328857)","(0.6735354065895081, 0.5518330931663513, 0.999876081943512)","(0.6765239238739014, 0.5548365116119385, 0.9998414516448975)","(0.6795225739479065, 0.5581189393997192, 0.9998686909675598)","(0.666341245174408, 0.5477994084358215, 0.9996195435523987)","(0.6641690731048584, 0.54774409532547, 0.9993770718574524)","(0.6617586612701416, 0.5477079749107361, 0.9997050762176514)","(0.6824687123298645, 0.5778540968894958, 0.9997774958610535)","(0.6580447554588318, 0.5621010065078735, 0.9995824098587036)","(0.6574296355247498, 0.5559073090553284, 0.999890148639679)","(0.6493644714355469, 0.551816999912262, 0.9996798038482666)","(0.6865991353988647, 0.6172844767570496, 0.9999995231628418)","(0.5893715620040894, 0.599932074546814, 0.9995282888412476)","(0.6356539130210876, 0.6896131634712219, 0.9653140306472778)","(0.4871996343135834, 0.6571451425552368, 0.052109070122241974)","(0.5764530897140503, 0.7523769736289978, 0.9445544481277466)","(0.397195428609848, 0.6507051587104797, 0.22853541374206543)"
"(0.6606221199035645, 0.5453253984451294, 0.9998369216918945)","(0.6735270619392395, 0.5512336492538452, 0.9998847842216492)","(0.6765190958976746, 0.5541566610336304, 0.9998533129692078)","(0.6795212626457214, 0.5572957396507263, 0.9998775720596313)","(0.6663485169410706, 0.5473945140838623, 0.999647319316864)","(0.6641795039176941, 0.5474180579185486, 0.9994246363639832)","(0.6617664098739624, 0.5474409461021423, 0.9997261166572571)","(0.6824800372123718, 0.5770253539085388, 0.9997945427894592)","(0.6581172943115234, 0.5618062615394592, 0.9996152520179749)","(0.6574400663375854, 0.5553713440895081, 0.9998974204063416)","(0.6493546962738037, 0.5514812469482422, 0.999701976776123)","(0.686948835849762, 0.6150498390197754, 0.9999995231628418)","(0.5893924832344055, 0.5998314619064331, 0.9995557069778442)","(0.6357866525650024, 0.6886362433433533, 0.9671211242675781)","(0.4874109625816345, 0.6600970029830933, 0.052327465265989304)","(0.576287031173706, 0.7523115873336792, 0.9459932446479797)","(0.40006333589553833, 0.6598471999168396, 0.22400398552417755)"
"(0.6606717109680176, 0.54496830701828, 0.9998489618301392)","(0.6735458374023438, 0.550872802734375, 0.9998923540115356)","(0.6765546798706055, 0.5537689924240112, 0.9998636841773987)","(0.6795827746391296, 0.5568998456001282, 0.9998851418495178)","(0.6663652062416077, 0.547098696231842, 0.9996716380119324)","(0.6641941666603088, 0.5471578240394592, 0.9994667768478394)","(0.6617742776870728, 0.5472062230110168, 0.9997446537017822)","(0.682533323764801, 0.5765299201011658, 0.9998094439506531)","(0.6581729650497437, 0.561555802822113, 0.9996442198753357)","(0.6575151085853577, 0.5550731420516968, 0.9999037981033325)","(0.6493657231330872, 0.5512710213661194, 0.9997215867042542)","(0.6871547698974609, 0.6138938665390015, 0.9999995231628418)","(0.5894483327865601, 0.5997251272201538, 0.9995822906494141)","(0.6357983350753784, 0.6881722807884216, 0.9686334133148193)","(0.4876598119735718, 0.6611224412918091, 0.05244618281722069)","(0.5760388374328613, 0.7523708343505859, 0.9469780325889587)","(0.4009603261947632, 0.6630915999412537, 0.21940021216869354)"
"(0.660642147064209, 0.5447840690612793, 0.9998598694801331)","(0.6735143065452576, 0.5506008863449097, 0.9998992681503296)","(0.6765375733375549, 0.5534459352493286, 0.9998730421066284)","(0.6795793771743774, 0.5565212965011597, 0.999891996383667)","(0.6662856936454773, 0.5469267964363098, 0.9996938109397888)","(0.6641043424606323, 0.5470199584960938, 0.9995051026344299)","(0.6616813540458679, 0.5470954179763794, 0.9997616410255432)","(0.6825364232063293, 0.5758990049362183, 0.9998229742050171)","(0.6582026481628418, 0.561409056186676, 0.9996707439422607)","(0.6575146317481995, 0.5548973083496094, 0.9999096989631653)","(0.6493000984191895, 0.5512216687202454, 0.9997397661209106)","(0.687292218208313, 0.6129466891288757, 0.9999995231628418)","(0.589540421962738, 0.5996875166893005, 0.9996069073677063)","(0.6357991695404053, 0.6879318356513977, 0.9700610637664795)","(0.487698495388031, 0.6613491177558899, 0.05300271138548851)","(0.5755792260169983, 0.7526921033859253, 0.9479350447654724)","(0.40110084414482117, 0.6644614934921265, 0.21702247858047485)"
"(0.6606401801109314, 0.5446684956550598, 0.9998692870140076)","(0.6735080480575562, 0.5504955053329468, 0.9999050498008728)","(0.6765382885932922, 0.5533410906791687, 0.9998810291290283)","(0.6795922517776489, 0.5564223527908325, 0.9998977780342102)","(0.6662818193435669, 0.5468217134475708, 0.9997125267982483)","(0.6641003489494324, 0.5469221472740173, 0.9995376467704773)","(0.6616824865341187, 0.5470001697540283, 0.9997759461402893)","(0.6825527548789978, 0.5756862759590149, 0.999834418296814)","(0.6582436561584473, 0.5612804293632507, 0.9996931552886963)","(0.6575233936309814, 0.5547742247581482, 0.9999145865440369)","(0.6492787003517151, 0.5511484742164612, 0.9997549653053284)","(0.6873553395271301, 0.6123722195625305, 0.9999995231628418)","(0.5895656943321228, 0.5993736982345581, 0.9996272921562195)","(0.6357844471931458, 0.6877162456512451, 0.9713926911354065)","(0.4877421259880066, 0.6611116528511047, 0.05328245833516121)","(0.5753204226493835, 0.7527729868888855, 0.949028491973877)","(0.40129342675209045, 0.664659857749939, 0.21402014791965485)"
"(0.6607221961021423, 0.5445241332054138, 0.9998781085014343)","(0.6735502481460571, 0.5504003167152405, 0.9999104738235474)","(0.6765795350074768, 0.5532374978065491, 0.9998884201049805)","(0.6796326637268066, 0.5563138723373413, 0.9999032020568848)","(0.6663402915000916, 0.5467404723167419, 0.9997303485870361)","(0.6641619205474854, 0.546851634979248, 0.9995684027671814)","(0.6617424488067627, 0.5469310283660889, 0.9997897148132324)","(0.6825579404830933, 0.5755023956298828, 0.9998447299003601)","(0.6582615971565247, 0.5611724853515625, 0.9997141361236572)","(0.6575933694839478, 0.554577112197876, 0.9999191761016846)","(0.6493059396743774, 0.5509884357452393, 0.9997695088386536)","(0.6874213814735413, 0.6117972731590271, 0.9999995231628418)","(0.5895853638648987, 0.5990433096885681, 0.9996499419212341)","(0.6356832385063171, 0.6876745223999023, 0.9724872708320618)","(0.4876517653465271, 0.6608434915542603, 0.054356664419174194)","(0.5750876665115356, 0.7528875470161438, 0.9500125050544739)","(0.40142735838890076, 0.665416419506073, 0.21333685517311096)"
"(0.6608219146728516, 0.5444260835647583, 0.9998864531517029)","(0.6736171245574951, 0.5503537654876709, 0.9999156594276428)","(0.6766592860221863, 0.5531952381134033, 0.999895453453064)","(0.6797229051589966, 0.5562760829925537, 0.9999085068702698)","(0.6663948893547058, 0.5466873049736023, 0.999747633934021)","(0.6642134189605713, 0.5468047261238098, 0.9995977878570557)","(0.6617887020111084, 0.5468860268592834, 0.9998030662536621)","(0.6826028227806091, 0.5753465294837952, 0.9998543858528137)","(0.6582719087600708, 0.5610748529434204, 0.999734103679657)","(0.6577283143997192, 0.5544677972793579, 0.9999235272407532)","(0.649357259273529, 0.5509087443351746, 0.999783456325531)","(0.6874596476554871, 0.6116368174552917, 0.9999995231628418)","(0.589825451374054, 0.5985185503959656, 0.9996725916862488)","(0.6355637311935425, 0.6876454949378967, 0.97337806224823)","(0.48769262433052063, 0.6606439352035522, 0.05582346394658089)","(0.574846625328064, 0.7529788613319397, 0.9508190155029297)","(0.401536226272583, 0.6653791666030884, 0.2138698697090149)"
"(0.660993218421936, 0.5442823767662048, 0.9998939633369446)","(0.6737204790115356, 0.5502897500991821, 0.9999203681945801)","(0.6767820715904236, 0.5531284809112549, 0.9999017715454102)","(0.6798637509346008, 0.5562067627906799, 0.9999133348464966)","(0.6664553880691528, 0.5466241836547852, 0.9997632503509521)","(0.6642621755599976, 0.546751081943512, 0.9996244311332703)","(0.6618197560310364, 0.5468346476554871, 0.9998152256011963)","(0.6826731562614441, 0.5751603841781616, 0.9998632669448853)","(0.6582972407341003, 0.560967743396759, 0.9997521042823792)","(0.6580181121826172, 0.5542581677436829, 0.9999275207519531)","(0.6495278477668762, 0.5507488250732422, 0.9997962117195129)","(0.687572717666626, 0.6113146543502808, 0.9999995231628418)","(0.5902574062347412, 0.5972544550895691, 0.9996936917304993)","(0.6355469226837158, 0.6874974966049194, 0.9741464853286743)","(0.4880606532096863, 0.6599167585372925, 0.057807981967926025)","(0.5746947526931763, 0.7529964447021484, 0.9513693451881409)","(0.40201571583747864, 0.6643180847167969, 0.2155422568321228)"
"(0.6610915064811707, 0.5441226363182068, 0.9998993873596191)","(0.6737470626831055, 0.5502128005027771, 0.9999232292175293)","(0.6768201589584351, 0.5530359148979187, 0.9999060034751892)","(0.6799149513244629, 0.5560874938964844, 0.9999161958694458)","(0.6664561033248901, 0.5465719699859619, 0.9997743368148804)","(0.6642613410949707, 0.5467150807380676, 0.9996442198753357)","(0.6618152856826782, 0.5468084216117859, 0.9998236894607544)","(0.6826878190040588, 0.5748176574707031, 0.9998692274093628)","(0.6583103537559509, 0.5608917474746704, 0.9997655749320984)","(0.6583266854286194, 0.5540332794189453, 0.9999298453330994)","(0.6496895551681519, 0.5506121516227722, 0.9998046159744263)","(0.6877449154853821, 0.6106157898902893, 0.9999995231628418)","(0.5913146734237671, 0.5964706540107727, 0.9997105598449707)","(0.6356043815612793, 0.6871294379234314, 0.9745481014251709)","(0.48951706290245056, 0.6598511338233948, 0.057802554219961166)","(0.5746727585792542, 0.7529945373535156, 0.9512001872062683)","(0.4024619460105896, 0.6636375188827515, 0.2118779867887497)"
"(0.6611031889915466, 0.544003427028656, 0.9999053478240967)","(0.6737468838691711, 0.5501593947410583, 0.9999268054962158)","(0.6768274307250977, 0.552972137928009, 0.9999108910560608)","(0.6799371838569641, 0.5560083389282227, 0.9999198317527771)","(0.6663817763328552, 0.5465397834777832, 0.9997861385345459)","(0.6641427874565125, 0.5466978549957275, 0.9996647834777832)","(0.6616456508636475, 0.5468014478683472, 0.9998328685760498)","(0.682694673538208, 0.5745528936386108, 0.9998765587806702)","(0.658232569694519, 0.5608710050582886, 0.9997797608375549)","(0.6585440635681152, 0.5538936257362366, 0.9999333620071411)","(0.6497390270233154, 0.550564169883728, 0.9998151063919067)","(0.687900722026825, 0.6096562743186951, 0.9999995827674866)","(0.5917338728904724, 0.5960562825202942, 0.999727725982666)","(0.6357057094573975, 0.6866790056228638, 0.9749362468719482)","(0.48976996541023254, 0.660190999507904, 0.058293361216783524)","(0.5746591687202454, 0.7529789805412292, 0.9513018727302551)","(0.4020935893058777, 0.6632013916969299, 0.2104419469833374)"
