nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.4792529046535492, 0.3817468583583832, 0.9999909400939941)","(0.4899809658527374, 0.3719908595085144, 0.9999775290489197)","(0.49717050790786743, 0.37226900458335876, 0.9999754428863525)","(0.5037348866462708, 0.3725588917732239, 0.9999769926071167)","(0.4692063331604004, 0.3714193105697632, 0.9999669194221497)","(0.4621630609035492, 0.3713752031326294, 0.9999590516090393)","(0.455756276845932, 0.37158048152923584, 0.9999555349349976)","(0.5135602355003357, 0.377463698387146, 0.9999470114707947)","(0.4457884132862091, 0.37698787450790405, 0.999930739402771)","(0.49240684509277344, 0.3932710886001587, 0.9999942779541016)","(0.4643700122833252, 0.3926010727882385, 0.9999905824661255)","(0.5722814202308655, 0.43625450134277344, 0.9999971985816956)","(0.3846012353897095, 0.42828407883644104, 0.9999576210975647)","(0.5914782881736755, 0.5081636309623718, 0.9929100275039673)","(0.3329728841781616, 0.4973818361759186, 0.9882639050483704)","(0.6076743602752686, 0.564608633518219, 0.9973825216293335)","(0.30180349946022034, 0.5554041266441345, 0.9843385219573975)"
"(0.47954100370407104, 0.38182714581489563, 0.9999910593032837)","(0.49021849036216736, 0.372037798166275, 0.9999778866767883)","(0.49738752841949463, 0.37229910492897034, 0.9999758005142212)","(0.5039496421813965, 0.3725748658180237, 0.9999773502349854)","(0.46951648592948914, 0.37149956822395325, 0.9999678134918213)","(0.4624900221824646, 0.37145090103149414, 0.9999601244926453)","(0.45605552196502686, 0.3716588318347931, 0.9999568462371826)","(0.5137423872947693, 0.37746259570121765, 0.9999476671218872)","(0.44617074728012085, 0.3770354688167572, 0.9999330043792725)","(0.49283352494239807, 0.3932957947254181, 0.9999942779541016)","(0.46487751603126526, 0.3926658630371094, 0.999990701675415)","(0.5726856589317322, 0.43623366951942444, 0.9999971985816956)","(0.38485851883888245, 0.42815732955932617, 0.9999588131904602)","(0.591473400592804, 0.5082067847251892, 0.9928163290023804)","(0.3329959809780121, 0.49722152948379517, 0.9883272051811218)","(0.6076990365982056, 0.5646190643310547, 0.9973697066307068)","(0.3018675744533539, 0.5553830862045288, 0.9841712713241577)"
"(0.480055570602417, 0.38188356161117554, 0.999991238117218)","(0.49069252610206604, 0.3720720708370209, 0.9999783039093018)","(0.4978092312812805, 0.37232083082199097, 0.9999762177467346)","(0.504349946975708, 0.3725852370262146, 0.9999777674674988)","(0.47004830837249756, 0.3715584874153137, 0.9999687671661377)","(0.46303704380989075, 0.37150734663009644, 0.9999613761901855)","(0.4565219581127167, 0.37171635031700134, 0.9999582767486572)","(0.5140475630760193, 0.37746238708496094, 0.9999483227729797)","(0.44663116335868835, 0.3770974576473236, 0.9999353289604187)","(0.4934634864330292, 0.39331233501434326, 0.9999943375587463)","(0.46559444069862366, 0.39270687103271484, 0.9999908208847046)","(0.5730718374252319, 0.43623465299606323, 0.9999971985816956)","(0.385225385427475, 0.4280366897583008, 0.9999598860740662)","(0.5914683938026428, 0.5082446336746216, 0.9927204251289368)","(0.33304470777511597, 0.4969192147254944, 0.9884230494499207)","(0.6076784133911133, 0.5646658539772034, 0.9973598122596741)","(0.30200669169425964, 0.5550168752670288, 0.9840554594993591)"
"(0.4801522195339203, 0.38206416368484497, 0.9999912977218628)","(0.49079641699790955, 0.37219345569610596, 0.9999784827232361)","(0.49791932106018066, 0.372424453496933, 0.9999763369560242)","(0.5044737458229065, 0.37267816066741943, 0.9999778866767883)","(0.4701801538467407, 0.3716798722743988, 0.9999693632125854)","(0.4631842374801636, 0.37161582708358765, 0.9999622106552124)","(0.4566936492919922, 0.3718178868293762, 0.9999593496322632)","(0.5141870379447937, 0.3775460124015808, 0.9999482035636902)","(0.44690701365470886, 0.37716320157051086, 0.9999369978904724)","(0.4936118721961975, 0.3934456408023834, 0.9999942779541016)","(0.4657402038574219, 0.3928740322589874, 0.9999908804893494)","(0.573383629322052, 0.4362674951553345, 0.9999971985816956)","(0.3855057954788208, 0.4278019368648529, 0.9999611377716064)","(0.5913611650466919, 0.5084487199783325, 0.9925954937934875)","(0.3330499231815338, 0.4968614876270294, 0.9885185360908508)","(0.607661783695221, 0.5648838877677917, 0.9973278045654297)","(0.3020147681236267, 0.5548675060272217, 0.9840526580810547)"
"(0.4801523983478546, 0.38206687569618225, 0.9999914765357971)","(0.49083054065704346, 0.3722023069858551, 0.9999788999557495)","(0.49798375368118286, 0.37243854999542236, 0.9999767541885376)","(0.5045607686042786, 0.37269657850265503, 0.999978244304657)","(0.4701959192752838, 0.3716825544834137, 0.9999702572822571)","(0.4632071554660797, 0.3716183602809906, 0.9999634623527527)","(0.45675599575042725, 0.37181946635246277, 0.9999607801437378)","(0.5143547058105469, 0.37761250138282776, 0.9999487400054932)","(0.44712525606155396, 0.3771657943725586, 0.9999392032623291)","(0.49365487694740295, 0.393466591835022, 0.9999943375587463)","(0.46573686599731445, 0.3928828239440918, 0.9999911189079285)","(0.5734254121780396, 0.43644797801971436, 0.9999971985816956)","(0.3855426609516144, 0.42777445912361145, 0.9999624490737915)","(0.591240406036377, 0.5089329481124878, 0.9924459457397461)","(0.3330819308757782, 0.4968648850917816, 0.9886580109596252)","(0.6074735522270203, 0.5652396082878113, 0.9972827434539795)","(0.3020212650299072, 0.554691731929779, 0.9840927720069885)"
"(0.48015791177749634, 0.38207995891571045, 0.9999915361404419)","(0.4908861517906189, 0.3722091317176819, 0.9999791383743286)","(0.49807095527648926, 0.37244704365730286, 0.9999769330024719)","(0.5046724677085876, 0.3727054297924042, 0.9999783635139465)","(0.4702170789241791, 0.37168845534324646, 0.9999708533287048)","(0.46322980523109436, 0.37162578105926514, 0.9999643564224243)","(0.4568086266517639, 0.37182724475860596, 0.9999618530273438)","(0.514525830745697, 0.37764737010002136, 0.9999487996101379)","(0.4473130404949188, 0.3771716356277466, 0.9999408721923828)","(0.49371349811553955, 0.3934881389141083, 0.9999943375587463)","(0.4657372534275055, 0.39289626479148865, 0.9999912977218628)","(0.5734400749206543, 0.43652889132499695, 0.9999971389770508)","(0.3856285512447357, 0.4277673065662384, 0.9999635219573975)","(0.5911353826522827, 0.5092198848724365, 0.9922655820846558)","(0.33313244581222534, 0.49686238169670105, 0.9887743592262268)","(0.6072898507118225, 0.5657804608345032, 0.9972160458564758)","(0.3020142912864685, 0.5546261072158813, 0.9840359687805176)"
"(0.48017916083335876, 0.3820801079273224, 0.9999916553497314)","(0.4909370243549347, 0.37221065163612366, 0.9999794363975525)","(0.498148649930954, 0.37244901061058044, 0.9999772310256958)","(0.5047737956047058, 0.37270674109458923, 0.9999786019325256)","(0.4702373743057251, 0.37169191241264343, 0.9999715685844421)","(0.463249146938324, 0.3716326057910919, 0.9999653697013855)","(0.45684996247291565, 0.3718373477458954, 0.9999629855155945)","(0.5146313309669495, 0.3776661157608032, 0.9999492764472961)","(0.44738173484802246, 0.3772030770778656, 0.9999427795410156)","(0.4938007593154907, 0.39349058270454407, 0.9999943971633911)","(0.4657432436943054, 0.39289745688438416, 0.9999914765357971)","(0.5734710693359375, 0.4366375505924225, 0.999997079372406)","(0.3856297731399536, 0.42778876423835754, 0.9999646544456482)","(0.5910621881484985, 0.509341835975647, 0.9921401739120483)","(0.33316734433174133, 0.4969097971916199, 0.9889312982559204)","(0.6071635484695435, 0.5659245252609253, 0.9971691966056824)","(0.3019879162311554, 0.5546085238456726, 0.9840742349624634)"
"(0.480177640914917, 0.3820958733558655, 0.999991774559021)","(0.4909418225288391, 0.3722434639930725, 0.9999797940254211)","(0.4981594383716583, 0.3724880516529083, 0.9999775290489197)","(0.5047868490219116, 0.37274879217147827, 0.9999788403511047)","(0.47024399042129517, 0.3717057406902313, 0.9999722838401794)","(0.46325936913490295, 0.37164434790611267, 0.9999663233757019)","(0.45688143372535706, 0.3718475103378296, 0.9999641180038452)","(0.5146346688270569, 0.37773165106773376, 0.9999497532844543)","(0.44741740822792053, 0.3772173523902893, 0.9999446272850037)","(0.4938022792339325, 0.3935195803642273, 0.9999944567680359)","(0.465726375579834, 0.39290571212768555, 0.9999917149543762)","(0.5733609795570374, 0.43662509322166443, 0.999997079372406)","(0.3855670690536499, 0.4278479814529419, 0.9999657869338989)","(0.5904948711395264, 0.5092276334762573, 0.9920541048049927)","(0.3331795632839203, 0.4970093369483948, 0.9890742301940918)","(0.606809139251709, 0.5659087300300598, 0.9971533417701721)","(0.3019433915615082, 0.5545951724052429, 0.9842217564582825)"
"(0.48020318150520325, 0.38207441568374634, 0.9999919533729553)","(0.4909747540950775, 0.372243732213974, 0.9999802112579346)","(0.49819862842559814, 0.3724905252456665, 0.9999778866767883)","(0.5048182010650635, 0.3727535009384155, 0.9999791383743286)","(0.47028279304504395, 0.3716997802257538, 0.9999729990959167)","(0.46330252289772034, 0.3716384768486023, 0.9999672770500183)","(0.45694413781166077, 0.3718391954898834, 0.9999651908874512)","(0.5146387219429016, 0.37775513529777527, 0.9999502897262573)","(0.44744673371315, 0.3772205710411072, 0.9999462962150574)","(0.4938156008720398, 0.3935202956199646, 0.9999945759773254)","(0.46572357416152954, 0.3928915858268738, 0.9999919533729553)","(0.5727623701095581, 0.436567485332489, 0.999997079372406)","(0.3854573667049408, 0.4279729723930359, 0.9999666213989258)","(0.5898162126541138, 0.5090832114219666, 0.9919644594192505)","(0.3331849277019501, 0.4971490800380707, 0.9891324639320374)","(0.6064778566360474, 0.5658891797065735, 0.9971452951431274)","(0.3019093871116638, 0.5545164942741394, 0.9843313097953796)"
"(0.48023393750190735, 0.382100909948349, 0.9999922513961792)","(0.49104952812194824, 0.37228885293006897, 0.9999809265136719)","(0.4982694387435913, 0.3725450932979584, 0.9999786019325256)","(0.504880428314209, 0.3728238344192505, 0.9999797940254211)","(0.4703454077243805, 0.3717126250267029, 0.9999740719795227)","(0.46335315704345703, 0.3716450035572052, 0.9999686479568481)","(0.45699918270111084, 0.37184229493141174, 0.9999666810035706)","(0.5146428346633911, 0.37784916162490845, 0.9999516010284424)","(0.44746625423431396, 0.37722593545913696, 0.9999486207962036)","(0.49382075667381287, 0.39357441663742065, 0.9999947547912598)","(0.46571671962738037, 0.39290985465049744, 0.9999922513961792)","(0.5719445943832397, 0.43655043840408325, 0.9999971389770508)","(0.3852236866950989, 0.42804253101348877, 0.999967634677887)","(0.5894476175308228, 0.5089214444160461, 0.9919334053993225)","(0.33318743109703064, 0.4972575604915619, 0.989258885383606)","(0.6060137748718262, 0.5658597946166992, 0.9971573352813721)","(0.30189213156700134, 0.5544527173042297, 0.984502911567688)"
