nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.47952055625426565, 0.3816297816368814)","(0.49022913784969757, 0.37190280927644825)","(0.4973916431545944, 0.3721879409465486)","(0.5039418848244471, 0.37247503005263494)","(0.46942180846676784, 0.37134362885724215)","(0.46236535094001174, 0.3713079838902808)","(0.4558993450828376, 0.37151477324379156)","(0.513680658974015, 0.37740054469564377)","(0.4457797470626307, 0.3769537279933769)","(0.4926567779276487, 0.39317342402773947)","(0.4645992243067656, 0.3925180980514544)","(0.5724248711045817, 0.43631906192619574)","(0.3845245717983432, 0.4283289505051576)","(0.5915320297499094, 0.5081342308671335)","(0.33305429634236583, 0.4973785286738889)","(0.6077684179330497, 0.5646263094215138)","(0.3019581372504474, 0.5553623230863018)"
"(0.47973047318436424, 0.38184796172977964)","(0.4904102531624295, 0.3720540416824242)","(0.49755798832520015, 0.3723154424370594)","(0.504109625771886, 0.37259019984232045)","(0.4696790160554838, 0.37150929156161216)","(0.4626402153279686, 0.37145642342267415)","(0.45616777911608686, 0.3716597463284347)","(0.5138578269031508, 0.3774834620508011)","(0.44618614653607447, 0.37704624079324234)","(0.49297729926509565, 0.3933201148793422)","(0.46501474197094356, 0.3926880012303252)","(0.5727604585927696, 0.43628380563987257)","(0.3848545971589219, 0.4281461466025649)","(0.5914769827069115, 0.5082364803427594)","(0.3330227317232082, 0.4971967003284367)","(0.6077249903223189, 0.5646690931909302)","(0.30200214798633934, 0.5552203281498189)"
"(0.47987609184705393, 0.38199239781686556)","(0.49054549957488913, 0.37214923064747696)","(0.49769243653559847, 0.37239343650413365)","(0.5042524939372556, 0.3726594392514181)","(0.4698758532395184, 0.3716184064085952)","(0.46286036709805567, 0.3715567442225973)","(0.4563952931713123, 0.37175922453542487)","(0.5140224753559898, 0.37753996996335015)","(0.4465633241029896, 0.37711348052903015)","(0.49323714675603314, 0.3934131391815381)","(0.46532516921316924, 0.39280269383550603)","(0.5730368144862314, 0.4362903021293374)","(0.3851657726547943, 0.4279849890506638)","(0.5914602457504463, 0.5084185868432205)","(0.33303197600069095, 0.49702766829437417)","(0.6076745789645726, 0.5648139064962225)","(0.30199763665110424, 0.5550703416059635)"
"(0.48001992230093116, 0.3820433257481999)","(0.49069314257248403, 0.37218258757413486)","(0.49784113567470223, 0.37242011507074396)","(0.5044098367224217, 0.3726809667401666)","(0.47004965093586093, 0.3716620149868082)","(0.4630478482285311, 0.3715996674863339)","(0.4565868087998647, 0.37180359477485614)","(0.5141830863930418, 0.37756800575134164)","(0.4468757386529928, 0.3771486820040891)","(0.4934721546017495, 0.3934426898861829)","(0.46557275551460386, 0.3928471143012289)","(0.5732721798903471, 0.43633486660488374)","(0.38541222695426314, 0.427868553322235)","(0.591429572422189, 0.5086392462948275)","(0.3330618489733394, 0.4969072655920115)","(0.6076016338555142, 0.5650326899993126)","(0.3019925594190902, 0.554920640580861)"
"(0.48014403890062984, 0.382039823523769)","(0.49082720821554116, 0.3721789489815015)","(0.49798474730033804, 0.3724154600730317)","(0.5045655158571997, 0.3726714149916375)","(0.47018576786790517, 0.37166723261624307)","(0.4631952530854242, 0.3716072897255289)","(0.4567412610376363, 0.37181180548834714)","(0.5143538449471936, 0.377580037483803)","(0.44711598614990666, 0.37716293293279446)","(0.4936686533314375, 0.3934382966487288)","(0.4657425769975979, 0.39285427366659165)","(0.5734901071150554, 0.43641337043755635)","(0.38557091063552884, 0.4278037857203504)","(0.5913049029859364, 0.5088588024352825)","(0.3330963500590876, 0.49685743854040415)","(0.6075023369633525, 0.5652906416735184)","(0.30201145506405397, 0.5547814705433001)"
"(0.4802096451356983, 0.38207900663078054)","(0.4909078442689154, 0.3722099795208118)","(0.49808266369890886, 0.37244488316260377)","(0.5046797068246883, 0.37269912976207237)","(0.47025927498346265, 0.3716949549588298)","(0.4632753331066577, 0.37163343893620315)","(0.4568402641442004, 0.37183746396800654)","(0.5144954650274256, 0.37762817670971166)","(0.4472789581700093, 0.37719052265852004)","(0.4937850896156206, 0.39347653073586586)","(0.46582103762037647, 0.39289346101122946)","(0.5735323905666959, 0.4364986261982471)","(0.3856500157943147, 0.42777327696482426)","(0.5911066619666319, 0.5090383055048956)","(0.3331281116236625, 0.49685964877511063)","(0.6073284165842563, 0.5655450889002761)","(0.3020107063241223, 0.5546754117890127)"
"(0.480218632585242, 0.38209986325466355)","(0.49095090834688854, 0.37223353037189577)","(0.49814554611286194, 0.37247156721728747)","(0.5047553651260619, 0.3727287122836488)","(0.4702837072608086, 0.37170870299939585)","(0.4633017231673359, 0.37164605434958)","(0.4568939818229997, 0.3718490388704633)","(0.5145892485594149, 0.37768327356218534)","(0.44738871928973173, 0.37720778674790434)","(0.4938174386124522, 0.39350813773128623)","(0.46580964924294455, 0.3929154686021924)","(0.5734225260072111, 0.436557593115005)","(0.3856565095050082, 0.42779487941092914)","(0.5908146914624403, 0.5091531471216884)","(0.33315668357557976, 0.49692623279033665)","(0.6070715804477963, 0.5657478615398464)","(0.3020037752348233, 0.5545840096640432)"
"(0.480192170901733, 0.3821476359606353)","(0.49097100567150886, 0.3722782169049722)","(0.49818367189738677, 0.3725161985917533)","(0.5048020851639891, 0.3727765750218113)","(0.4702758084643981, 0.3717381156685755)","(0.46329128193410785, 0.37166872849831295)","(0.45691232831328166, 0.3718677976609396)","(0.5146536060146529, 0.37775438308438025)","(0.44744556725442086, 0.37722341553036787)","(0.4938029375248588, 0.3935603777289677)","(0.46574460049887184, 0.3929614525435974)","(0.573155044397831, 0.43659772371356675)","(0.385567092186922, 0.4278547721448209)","(0.5904646961839062, 0.5091846689477678)","(0.3331887897077981, 0.49703272795065956)","(0.6067459023360062, 0.5658767041348645)","(0.3019984884139826, 0.5545007708745137)"
"(0.4802317547075686, 0.38214118532089725)","(0.4910501014519415, 0.3722877766424689)","(0.49826791111406016, 0.37253107432718957)","(0.504884010567255, 0.37279742539345884)","(0.4703233014175674, 0.3717349054235408)","(0.463328043202977, 0.37166461154019714)","(0.45695629139324545, 0.37186126094875993)","(0.5147002157353587, 0.37779877979160825)","(0.44747995955127196, 0.37722625543465504)","(0.49383652877140816, 0.3935720168905111)","(0.46574550005661675, 0.3929491903815244)","(0.5726813956018385, 0.4365980370895022)","(0.38538591032261693, 0.4279446019715094)","(0.5900052855342709, 0.5090939007994745)","(0.3332359129454435, 0.4971222265478069)","(0.6063996288048372, 0.5659040457163114)","(0.30201969488517455, 0.5543500760218492)"
"(0.4802902673646853, 0.38209755222002745)","(0.4911413667224237, 0.3722731705173198)","(0.4983563007035744, 0.3725278936066002)","(0.5049668194808615, 0.3728042023998882)","(0.4703965797013068, 0.37170494575322727)","(0.46338722366831064, 0.37163775666054666)","(0.4570161850997072, 0.3718318409158363)","(0.5147138903468927, 0.3778290436679119)","(0.4474912063503053, 0.37721463301520886)","(0.4938772348535099, 0.39356073764932265)","(0.4657512846943392, 0.3928902299948792)","(0.5720324955342267, 0.43655858492795774)","(0.3851510689253026, 0.428025824137224)","(0.5894801522190489, 0.5089623379262744)","(0.33325071233413783, 0.4972090694732055)","(0.6061180760532561, 0.5658827638014781)","(0.30196582458236065, 0.5542311792051331)"
